5.69,"p":-0.69,"r":15.96},"acceleration":{"x":-2148,"y":-553,"z":5141}}
0.2:{"time":126221,"ypr":{"y":53.44,"p":6.02,"r":7.04},"acceleration":{"x":-3750,"y":1859,"z":4812}}
0.2:{"time":126235,"ypr":{"y":53.63,"p":9.80,"r":7.67},"acceleration":{"x":-3665,"y":453,"z":5809}}
0.2:{"time":126251,"ypr":{"y":54.27,"p":13.52,"r":8.62},"acceleration":{"x":-3042,"y":-1266,"z":6319}}
0.2:{"time":126266,"ypr":{"y":55.08,"p":16.58,"r":9.58},"acceleration":{"x":-2454,"y":-2441,"z":6599}}
0.2:{"time":126280,"ypr":{"y":55.76,"p":18.66,"r":10.44},"acceleration":{"x":-2490,"y":-2746,"z":6659}}
0.2:{"time":126296,"ypr":{"y":56.27,"p":19.91,"r":11.35},"acceleration":{"x":-2706,"y":-2483,"z":6220}}
0.2:{"time":126311,"ypr":{"y":56.80,"p":20.62,"r":12.29},"acceleration":{"x":-3038,"y":-1815,"z":5379}}
0.2:{"time":126325,"ypr":{"y":57.46,"p":21.17,"r":13.32},"acceleration":{"x":-3227,"y":-953,"z":4308}}
0.2:{"time":126341,"ypr":{"y":58.41,"p":21.80,"r":14.38},"acceleration":{"x":-3338,"y":-51,"z":3728}}
0.2:{"time":126356,"ypr":{"y":59.52,"p":22.61,"r":15.51},"acceleration":{"x":-2731,"y":651,"z":3734}}
0.2:{"time":126370,"ypr":{"y":60.95,"p":23.48,"r":16.52},"acceleration":{"x":-1788,"y":1507,"z":4210}}
0.2:{"time":126386,"ypr":{"y":62.76,"p":24.51,"r":17.15},"acceleration":{"x":-918,"y":2153,"z":4720}}
0.2:{"time":126401,"ypr":{"y":64.57,"p":26.04,"r":17.42},"acceleration":{"x":126,"y":1183,"z":5686}}
0.2:{"time":126415,"ypr":{"y":65.79,"p":26.99,"r":17.52},"acceleration":{"x":1299,"y":141,"z":6485}}
0.2:{"time":126431,"ypr":{"y":66.53,"p":26.97,"r":17.19},"acceleration":{"x":1649,"y":-292,"z":6395}}
0.2:{"time":126446,"ypr":{"y":67.04,"p":26.51,"r":16.45},"acceleration":{"x":1251,"y":-389,"z":5945}}
0.2:{"time":126460,"ypr":{"y":67.38,"p":25.83,"r":15.46},"acceleration":{"x":538,"y":-297,"z":5625}}
0.2:{"time":126476,"ypr":{"y":67.60,"p":24.93,"r":14.43},"acceleration":{"x":-135,"y":-125,"z":4699}}
0.2:{"time":126491,"ypr":{"y":67.79,"p":24.15,"r":13.43},"acceleration":{"x":-684,"y":169,"z":3929}}
0.2:{"time":126505,"ypr":{"y":68.04,"p":23.62,"r":12.42},"acceleration":{"x":-1109,"y":180,"z":3842}}
0.2:{"time":126521,"ypr":{"y":68.42,"p":23.22,"r":11.49},"acceleration":{"x":-1284,"y":-186,"z":4091}}
0.2:{"time":126536,"ypr":{"y":68.90,"p":22.78,"r":10.71},"acceleration":{"x":-1236,"y":-835,"z":4295}}
0.2:{"time":126551,"ypr":{"y":69.37,"p":22.06,"r":9.96},"acceleration":{"x":-1151,"y":-1408,"z":4556}}
0.2:{"time":126566,"ypr":{"y":69.75,"p":21.01,"r":9.16},"acceleration":{"x":-1239,"y":-2133,"z":4829}}
0.2:{"time":126580,"ypr":{"y":69.98,"p":19.51,"r":8.45},"acceleration":{"x":-1154,"y":-2742,"z":4550}}
0.2:{"time":126596,"ypr":{"y":70.04,"p":17.66,"r":7.71},"acceleration":{"x":-1033,"y":-3051,"z":4402}}
0.2:{"time":126611,"ypr":{"y":69.89,"p":15.47,"r":6.99},"acceleration":{"x":-936,"y":-3132,"z":4400}}
0.2:{"time":126625,"ypr":{"y":69.66,"p":13.15,"r":6.59},"acceleration":{"x":-975,"y":-3415,"z":5213}}
0.2:{"time":126641,"ypr":{"y":69.32,"p":10.28,"r":6.64},"acceleration":{"x":-1214,"y":-3149,"z":5662}}
0.2:{"time":126656,"ypr":{"y":68.79,"p":7.09,"r":6.80},"acceleration":{"x":-1881,"y":-1784,"z":5524}}
0.2:{"time":126670,"ypr":{"y":68.14,"p":4.36,"r":6.98},"acceleration":{"x":-2387,"y":-412,"z":5405}}
0.2:{"time":126686,"ypr":{"y":67.67,"p":2.39,"r":7.34},"acceleration":{"x":-2769,"y":440,"z":5626}}
0.2:{"time":126701,"ypr":{"y":67.40,"p":1.44,"r":8.03},"acceleration":{"x":-2945,"y":427,"z":6282}}
0.2:{"time":126715,"ypr":{"y":67.20,"p":1.15,"r":8.97},"acceleration":{"x":-2570,"y":-190,"z":6407}}
0.2:{"time":126731,"ypr":{"y":66.96,"p":1.03,"r":9.89},"acceleration":{"x":-1724,"y":-877,"z":6206}}
0.2:{"time":126746,"ypr":{"y":66.63,"p":0.72,"r":10.45},"acceleration":{"x":-969,"y":-1650,"z":6357}}
0.2:{"time":126760,"ypr":{"y":66.16,"p":0.08,"r":10.60},"acceleration":{"x":-429,"y":-2512,"z":6256}}
0.2:{"time":126776,"ypr":{"y":65.36,"p":-0.97,"r":10.29},"acceleration":{"x":438,"y":-3661,"z":5845}}
0.2:{"time":126791,"ypr":{"y":64.34,"p":-2.86,"r":9.50},"acceleration":{"x":111,"y":-4061,"z":5301}}
0.2:{"time":126806,"ypr":{"y":63.24,"p":-4.98,"r":9.06},"acceleration":{"x":-70,"y":-3818,"z":4655}}
0.2:{"time":126821,"ypr":{"y":62.07,"p":-7.57,"r":9.14},"acceleration":{"x":-83,"y":-1954,"z":3877}}
0.2:{"time":126836,"ypr":{"y":61.06,"p":-9.86,"r":9.41},"acceleration":{"x":286,"y":400,"z":3933}}
0.2:{"time":126851,"ypr":{"y":60.28,"p":-11.47,"r":9.19},"acceleration":{"x":483,"y":2049,"z":4367}}
0.2:{"time":126866,"ypr":{"y":59.70,"p":-12.50,"r":8.47},"acceleration":{"x":18,"y":2854,"z":4953}}
0.2:{"time":126881,"ypr":{"y":59.22,"p":-12.79,"r":7.49},"acceleration":{"x":-696,"y":2814,"z":5312}}
0.2:{"time":126896,"ypr":{"y":58.92,"p":-12.29,"r":6.56},"acceleration":{"x":-1189,"y":2093,"z":5038}}
0.2:{"time":126911,"ypr":{"y":58.82,"p":-11.27,"r":5.86},"acceleration":{"x":-1174,"y":1263,"z":4598}}
0.2:{"time":126926,"ypr":{"y":58.72,"p":-9.90,"r":5.24},"acceleration":{"x":-917,"y":216,"z":4208}}
0.2:{"time":126941,"ypr":{"y":58.45,"p":-8.43,"r":4.87},"acceleration":{"x":-155,"y":-688,"z":3526}}
0.2:{"time":126956,"ypr":{"y":58.13,"p":-7.32,"r":4.61},"acceleration":{"x":1023,"y":-912,"z":2988}}
0.2:{"time":126971,"ypr":{"y":57.84,"p":-7.00,"r":4.01},"acceleration":{"x":1838,"y":-901,"z":3588}}
0.2:{"time":126986,"ypr":{"y":58.00,"p":-7.11,"r":3.30},"acceleration":{"x":1931,"y":-1393,"z":4961}}
0.2:{"time":127001,"ypr":{"y":58.66,"p":-7.51,"r":2.85},"acceleration":{"x":993,"y":-1744,"z":6008}}
0.2:{"time":127015,"ypr":{"y":59.58,"p":-7.85,"r":2.56},"acceleration":{"x":-1107,"y":-1582,"z":6828}}
0.2:{"time":127031,"ypr":{"y":60.31,"p":-7.96,"r":2.43},"acceleration":{"x":-3015,"y":-724,"z":7512}}
0.2:{"time":127046,"ypr":{"y":60.85,"p":-7.49,"r":2.19},"acceleration":{"x":-3944,"y":488,"z":7997}}
0.2:{"time":127060,"ypr":{"y":61.33,"p":-6.00,"r":1.79},"acceleration":{"x":-3726,"y":1724,"z":7976}}
0.2:{"time":127076,"ypr":{"y":61.78,"p":-3.39,"r":1.38},"acceleration":{"x":-1860,"y":1841,"z":7015}}
0.2:{"time":127091,"ypr":{"y":62.72,"p":-0.44,"r":0.71},"acceleration":{"x":347,"y":1532,"z":5492}}
0.2:{"time":127106,"ypr":{"y":64.04,"p":2.47,"r":-0.62},"acceleration":{"x":1366,"y":596,"z":4025}}
0.2:{"time":127121,"ypr":{"y":65.32,"p":5.09,"r":-2.15},"acceleration":{"x":1355,"y":-423,"z":2541}}
0.2:{"time":127136,"ypr":{"y":66.33,"p":7.44,"r":-3.91},"acceleration":{"x":1276,"y":-1244,"z":1544}}
0.2:{"time":127151,"ypr":{"y":66.88,"p":9.51,"r":-5.84},"acceleration":{"x":1353,"y":-2125,"z":1026}}
0.2:{"time":127166,"ypr":{"y":67.07,"p":11.12,"r":-7.81},"acceleration":{"x":1894,"y":-3100,"z":745}}
0.2:{"time":127181,"ypr":{"y":67.08,"p":11.91,"r":-10.12},"acceleration":{"x":2416,"y":-4120,"z":1009}}
0.2:{"time":127196,"ypr":{"y":67.14,"p":11.55,"r":-12.65},"acceleration":{"x":2693,"y":-4848,"z":3074}}
0.2:{"time":127211,"ypr":{"y":67.73,"p":9.61,"r":-14.95},"acceleration":{"x":1787,"y":-4884,"z":5235}}
0.2:{"time":127226,"ypr":{"y":68.58,"p":6.26,"r":-16.98},"acceleration":{"x":23,"y":-3362,"z":5293}}
0.2:{"time":127241,"ypr":{"y":69.24,"p":3.46,"r":-18.99},"acceleration":{"x":-1137,"y":-1608,"z":6550}}
0.2:{"time":127256,"ypr":{"y":70.03,"p":1.71,"r":-20.89},"acceleration":{"x":-2302,"y":-194,"z":8125}}
0.2:{"time":127271,"ypr":{"y":70.82,"p":0.94,"r":-22.39},"acceleration":{"x":-3387,"y":831,"z":9234}}
0.2:{"time":127286,"ypr":{"y":71.24,"p":1.21,"r":-23.26},"acceleration":{"x":-3715,"y":1177,"z":9711}}
0.2:{"time":127301,"ypr":{"y":71.43,"p":1.88,"r":-23.62},"acceleration":{"x":-3435,"y":910,"z":10142}}
0.2:{"time":127316,"ypr":{"y":71.56,"p":2.72,"r":-23.39},"acceleration":{"x":-3088,"y":534,"z":10312}}
0.2:{"time":127331,"ypr":{"y":71.52,"p":3.79,"r":-22.80},"acceleration":{"x":-2247,"y":-134,"z":10190}}
0.2:{"time":127346,"ypr":{"y":71.32,"p":4.51,"r":-22.50},"acceleration":{"x":-1841,"y":-359,"z":9799}}
0.2:{"time":127362,"ypr":{"y":70.82,"p":4.89,"r":-22.53},"acceleration":{"x":-2200,"y":-716,"z":8113}}
0.2:{"time":127376,"ypr":{"y":70.09,"p":4.83,"r":-22.00},"acceleration":{"x":-2585,"y":-1565,"z":6133}}
0.2:{"time":127391,"ypr":{"y":69.24,"p":4.42,"r":-19.54},"acceleration":{"x":-2099,"y":-2277,"z":3693}}
0.2:{"time":127407,"ypr":{"y":68.28,"p":4.19,"r":-15.75},"acceleration":{"x":-355,"y":-2354,"z":1210}}
0.2:{"time":127421,"ypr":{"y":67.17,"p":4.28,"r":-12.25},"acceleration":{"x":1973,"y":-2018,"z":-304}}
0.2:{"time":127436,"ypr":{"y":65.76,"p":4.29,"r":-9.91},"acceleration":{"x":4148,"y":-1734,"z":-380}}
0.2:{"time":127452,"ypr":{"y":64.42,"p":3.60,"r":-8.44},"acceleration":{"x":5452,"y":-1780,"z":800}}
0.2:{"time":127466,"ypr":{"y":63.49,"p":1.44,"r":-7.32},"acceleration":{"x":5462,"y":-1331,"z":1680}}
0.2:{"time":127481,"ypr":{"y":63.28,"p":-1.74,"r":-6.17},"acceleration":{"x":3685,"y":662,"z":2041}}
0.2:{"time":127496,"ypr":{"y":62.66,"p":-4.16,"r":-5.14},"acceleration":{"x":3184,"y":2120,"z":2117}}
0.2:{"time":127511,"ypr":{"y":61.41,"p":-6.12,"r":-5.18},"acceleration":{"x":2748,"y":1754,"z":1526}}
0.2:{"time":127526,"ypr":{"y":60.34,"p":-8.24,"r":-5.90},"acceleration":{"x":1269,"y":1734,"z":1440}}
0.2:{"time":127541,"ypr":{"y":59.41,"p":-9.89,"r":-6.66},"acceleration":{"x":-554,"y":1891,"z":2260}}
0.2:{"time":127556,"ypr":{"y":58.63,"p":-11.00,"r":-7.07},"acceleration":{"x":-2146,"y":2386,"z":4668}}
0.2:{"time":127571,"ypr":{"y":57.99,"p":-10.81,"r":-6.86},"acceleration":{"x":-3984,"y":3265,"z":6735}}
0.2:{"time":127586,"ypr":{"y":57.47,"p":-7.97,"r":-5.68},"acceleration":{"x":-4938,"y":3334,"z":6776}}
0.2:{"time":127601,"ypr":{"y":57.23,"p":-3.64,"r":-4.30},"acceleration":{"x":-4334,"y":1938,"z":6972}}
0.2:{"time":127617,"ypr":{"y":57.24,"p":0.41,"r":-2.89},"acceleration":{"x":-3436,"y":477,"z":7029}}
0.2:{"time":127631,"ypr":{"y":57.01,"p":3.99,"r":-1.61},"acceleration":{"x":-2179,"y":-908,"z":6780}}
0.2:{"time":127646,"ypr":{"y":56.55,"p":6.75,"r":-0.82},"acceleration":{"x":-1286,"y":-1934,"z":7081}}
0.2:{"time":127662,"ypr":{"y":56.32,"p":8.83,"r":-0.42},"acceleration":{"x":-1331,"y":-2930,"z":7260}}
0.2:{"time":127676,"ypr":{"y":56.31,"p":10.08,"r":0.38},"acceleration":{"x":-1557,"y":-3761,"z":6559}}
0.2:{"time":127691,"ypr":{"y":56.53,"p":10.68,"r":1.63},"acceleration":{"x":-1584,"y":-3302,"z":5612}}
0.2:{"time":127707,"ypr":{"y":56.89,"p":11.08,"r":2.93},"acceleration":{"x":-1689,"y":-2416,"z":4871}}
0.2:{"time":127721,"ypr":{"y":57.35,"p":11.39,"r":4.23},"acceleration":{"x":-1883,"y":-1710,"z":4114}}
0.2:{"time":127736,"ypr":{"y":57.81,"p":11.75,"r":5.62},"acceleration":{"x":-1855,"y":-1218,"z":3473}}
0.2:{"time":127752,"ypr":{"y":58.25,"p":12.25,"r":6.98},"acceleration":{"x":-1641,"y":-1159,"z":3182}}
0.2:{"time":127766,"ypr":{"y":58.66,"p":12.75,"r":8.33},"acceleration":{"x":-1172,"y":-1341,"z":3307}}
0.2:{"time":127781,"ypr":{"y":59.02,"p":12.94,"r":9.62},"acceleration":{"x":-577,"y":-1632,"z":3437}}
0.2:{"time":127797,"ypr":{"y":59.37,"p":12.63,"r":10.81},"acceleration":{"x":85,"y":-1656,"z":3657}}
0.2:{"time":127811,"ypr":{"y":59.77,"p":11.85,"r":11.67},"acceleration":{"x":347,"y":-1667,"z":3971}}
0.2:{"time":127826,"ypr":{"y":60.21,"p":10.74,"r":12.26},"acceleration":{"x":295,"y":-1706,"z":4227}}
0.2:{"time":127842,"ypr":{"y":60.66,"p":9.45,"r":12.60},"acceleration":{"x":73,"y":-1889,"z":4217}}
0.2:{"time":127856,"ypr":{"y":61.03,"p":8.10,"r":12.81},"acceleration":{"x":-129,"y":-2180,"z":4154}}
0.2:{"time":127872,"ypr":{"y":61.28,"p":6.71,"r":12.97},"acceleration":{"x":-284,"y":-2863,"z":4507}}
0.2:{"time":127887,"ypr":{"y":61.28,"p":4.89,"r":13.18},"acceleration":{"x":-472,"y":-3498,"z":4665}}
0.2:{"time":127901,"ypr":{"y":61.14,"p":2.45,"r":13.25},"acceleration":{"x":-924,"y":-3616,"z":4605}}
0.2:{"time":127917,"ypr":{"y":61.09,"p":-0.22,"r":13.20},"acceleration":{"x":-1574,"y":-3392,"z":4633}}
0.2:{"time":127931,"ypr":{"y":61.24,"p":-2.87,"r":13.32},"acceleration":{"x":-1939,"y":-2665,"z":4411}}
0.2:{"time":127946,"ypr":{"y":61.53,"p":-5.27,"r":13.40},"acceleration":{"x":-2280,"y":-1655,"z":4433}}
0.2:{"time":127962,"ypr":{"y":61.90,"p":-7.16,"r":13.41},"acceleration":{"x":-2940,"y":-770,"z":5142}}
0.2:{"time":127976,"ypr":{"y":62.26,"p":-8.24,"r":13.69},"acceleration":{"x":-3327,"y":-200,"z":5631}}
0.2:{"time":127991,"ypr":{"y":62.48,"p":-8.59,"r":14.26},"acceleration":{"x":-3263,"y":-147,"z":5866}}
0.2:{"time":128007,"ypr":{"y":62.74,"p":-8.48,"r":14.95},"acceleration":{"x":-3006,"y":-482,"z":5785}}
0.2:{"time":128021,"ypr":{"y":63.10,"p":-8.18,"r":15.59},"acceleration":{"x":-2563,"y":-861,"z":5597}}
0.2:{"time":128036,"ypr":{"y":63.49,"p":-7.86,"r":16.02},"acceleration":{"x":-2285,"y":-1257,"z":5548}}
0.2:{"time":128052,"ypr":{"y":63.85,"p":-7.63,"r":16.31},"acceleration":{"x":-2191,"y":-1544,"z":5379}}
0.2:{"time":128066,"ypr":{"y":64.09,"p":-7.49,"r":16.45},"acceleration":{"x":-2163,"y":-1704,"z":5107}}
0.2:{"time":128081,"ypr":{"y":64.13,"p":-7.46,"r":16.52},"acceleration":{"x":-2152,"y":-1629,"z":4936}}
0.2:{"time":128097,"ypr":{"y":64.03,"p":-7.43,"r":16.58},"acceleration":{"x":-2182,"y":-1287,"z":4790}}
0.2:{"time":128111,"ypr":{"y":63.87,"p":-7.25,"r":16.70},"acceleration":{"x":-2210,"y":-826,"z":4608}}
0.2:{"time":128126,"ypr":{"y":63.70,"p":-6.86,"r":16.88},"acceleration":{"x":-2224,"y":-456,"z":4534}}
0.2:{"time":128142,"ypr":{"y":63.55,"p":-6.20,"r":17.09},"acceleration":{"x":-2232,"y":-196,"z":4274}}
0.2:{"time":128156,"ypr":{"y":63.39,"p":-5.34,"r":17.34},"acceleration":{"x":-2187,"y":133,"z":4110}}
0.2:{"time":128172,"ypr":{"y":63.27,"p":-4.37,"r":17.57},"acceleration":{"x":-2261,"y":425,"z":4076}}
0.2:{"time":128187,"ypr":{"y":63.32,"p":-3.19,"r":17.93},"acceleration":{"x":-2379,"y":471,"z":4713}}
0.2:{"time":128201,"ypr":{"y":63.75,"p":-1.58,"r":18.48},"acceleration":{"x":-2311,"y":51,"z":5316}}
0.2:{"time":128217,"ypr":{"y":64.49,"p":0.23,"r":19.10},"acceleration":{"x":-1952,"y":-648,"z":5613}}
0.2:{"time":128232,"ypr":{"y":65.26,"p":1.77,"r":19.57},"acceleration":{"x":-1661,"y":-1271,"z":5743}}
0.2:{"time":128246,"ypr":{"y":65.91,"p":2.91,"r":19.90},"acceleration":{"x":-1263,"y":-1692,"z":5926}}
0.2:{"time":128262,"ypr":{"y":66.47,"p":3.71,"r":20.00},"acceleration":{"x":-964,"y":-2062,"z":5785}}
0.2:{"time":128277,"ypr":{"y":66.90,"p":4.12,"r":19.97},"acceleration":{"x":-753,"y":-2180,"z":5357}}
0.2:{"time":128291,"ypr":{"y":67.23,"p":4.16,"r":19.79},"acceleration":{"x":-821,"y":-2046,"z":5158}}
0.2:{"time":128307,"ypr":{"y":67.51,"p":3.93,"r":19.56},"acceleration":{"x":-1039,"y":-1662,"z":5014}}
0.2:{"time":128321,"ypr":{"y":67.81,"p":3.55,"r":19.35},"acceleration":{"x":-1268,"y":-1153,"z":4801}}
0.2:{"time":128336,"ypr":{"y":68.21,"p":3.18,"r":19.15},"acceleration":{"x":-1559,"y":-641,"z":4514}}
0.2:{"time":128352,"ypr":{"y":68.71,"p":2.97,"r":18.90},"acceleration":{"x":-2071,"y":-150,"z":4503}}
0.2:{"time":128366,"ypr":{"y":69.31,"p":3.14,"r":18.67},"acceleration":{"x":-2740,"y":218,"z":4634}}
0.2:{"time":128381,"ypr":{"y":69.97,"p":3.78,"r":18.59},"acceleration":{"x":-3395,"y":425,"z":4657}}
0.2:{"time":128397,"ypr":{"y":70.70,"p":4.87,"r":18.67},"acceleration":{"x":-3954,"y":522,"z":4632}}
0.2:{"time":128411,"ypr":{"y":71.49,"p":6.37,"r":18.82},"acceleration":{"x":-4457,"y":503,"z":4645}}
0.2:{"time":128427,"ypr":{"y":72.14,"p":8.31,"r":19.16},"acceleration":{"x":-4432,"y":-110,"z":4635}}
0.2:{"time":128442,"ypr":{"y":72.56,"p":10.27,"r":19.68},"acceleration":{"x":-3555,"y":-965,"z":4902}}
0.2:{"time":128456,"ypr":{"y":72.86,"p":11.78,"r":20.14},"acceleration":{"x":-2608,"y":-1472,"z":5105}}
0.2:{"time":128472,"ypr":{"y":72.86,"p":12.93,"r":20.48},"acceleration":{"x":-1846,"y":-1696,"z":5150}}
0.2:{"time":128487,"ypr":{"y":72.59,"p":13.73,"r":20.65},"acceleration":{"x":-1532,"y":-1760,"z":5269}}
0.2:{"time":128501,"ypr":{"y":72.00,"p":14.17,"r":20.64},"acceleration":{"x":-1692,"y":-1680,"z":5335}}
0.2:{"time":128517,"ypr":{"y":71.18,"p":14.48,"r":20.48},"acceleration":{"x":-1847,"y":-1860,"z":5338}}
0.2:{"time":128532,"ypr":{"y":70.26,"p":14.51,"r":20.30},"acceleration":{"x":-2023,"y":-2007,"z":5113}}
0.2:{"time":128546,"ypr":{"y":69.40,"p":14.42,"r":20.26},"acceleration":{"x":-2100,"y":-2174,"z":5151}}
0.2:{"time":128562,"ypr":{"y":68.50,"p":14.05,"r":20.35},"acceleration":{"x":-2222,"y":-2013,"z":5172}}
0.2:{"time":128577,"ypr":{"y":67.58,"p":13.38,"r":20.55},"acceleration":{"x":-2394,"y":-1390,"z":5008}}
0.2:{"time":128591,"ypr":{"y":66.78,"p":12.79,"r":20.82},"acceleration":{"x":-2402,"y":-802,"z":4937}}
0.2:{"time":128607,"ypr":{"y":66.17,"p":12.44,"r":21.04},"acceleration":{"x":-2206,"y":-486,"z":4903}}
0.2:{"time":128622,"ypr":{"y":65.59,"p":12.33,"r":21.10},"acceleration":{"x":-1921,"y":-495,"z":4838}}
0.2:{"time":128636,"ypr":{"y":64.95,"p":12.34,"r":21.01},"acceleration":{"x":-1605,"y":-951,"z":5026}}
0.2:{"time":128652,"ypr":{"y":64.17,"p":12.13,"r":20.85},"acceleration":{"x":-1287,"y":-1375,"z":5177}}
0.2:{"time":128667,"ypr":{"y":63.19,"p":11.56,"r":20.65},"acceleration":{"x":-1082,"y":-1489,"z":5184}}
0.2:{"time":128681,"ypr":{"y":62.04,"p":10.74,"r":20.34},"acceleration":{"x":-1147,"y":-1397,"z":5155}}
0.2:{"time":128697,"ypr":{"y":60.81,"p":9.87,"r":19.99},"acceleration":{"x":-1378,"y":-1292,"z":5249}}
0.2:{"time":128712,"ypr":{"y":59.57,"p":9.10,"r":19.67},"acceleration":{"x":-1656,"y":-1240,"z":5212}}
0.2:{"time":128727,"ypr":{"y":58.37,"p":8.50,"r":19.50},"acceleration":{"x":-1792,"y":-1294,"z":5015}}
0.2:{"time":128742,"ypr":{"y":57.19,"p":8.06,"r":19.37},"acceleration":{"x":-1896,"y":-1600,"z":4907}}
0.2:{"time":128757,"ypr":{"y":56.03,"p":7.66,"r":19.33},"acceleration":{"x":-1955,"y":-2047,"z":4825}}
0.2:{"time":128772,"ypr":{"y":54.85,"p":7.17,"r":19.40},"acceleration":{"x":-2023,"y":-2308,"z":4755}}
0.2:{"time":128787,"ypr":{"y":53.54,"p":6.67,"r":19.62},"acceleration":{"x":-1832,"y":-2396,"z":4830}}
0.2:{"time":128802,"ypr":{"y":52.31,"p":6.11,"r":19.88},"acceleration":{"x":-1397,"y":-2418,"z":5110}}
0.2:{"time":128817,"ypr":{"y":51.31,"p":5.39,"r":20.11},"acceleration":{"x":-1082,"y":-2390,"z":5248}}
0.2:{"time":128832,"ypr":{"y":50.44,"p":4.50,"r":20.28},"acceleration":{"x":-897,"y":-2254,"z":5162}}
0.2:{"time":128846,"ypr":{"y":49.64,"p":3.49,"r":20.37},"acceleration":{"x":-923,"y":-2107,"z":5003}}
0.2:{"time":128862,"ypr":{"y":48.88,"p":2.41,"r":20.46},"acceleration":{"x":-1108,"y":-1887,"z":4953}}
0.2:{"time":128877,"ypr":{"y":48.17,"p":1.40,"r":20.56},"acceleration":{"x":-1252,"y":-1584,"z":4984}}
0.2:{"time":128891,"ypr":{"y":47.61,"p":0.50,"r":20.60},"acceleration":{"x":-1406,"y":-1397,"z":5037}}
0.2:{"time":128907,"ypr":{"y":47.24,"p":-0.31,"r":20.56},"acceleration":{"x":-1664,"y":-1281,"z":5086}}
0.2:{"time":128922,"ypr":{"y":47.04,"p":-0.91,"r":20.51},"acceleration":{"x":-1885,"y":-1264,"z":5006}}
0.2:{"time":128936,"ypr":{"y":46.95,"p":-1.32,"r":20.48},"acceleration":{"x":-1990,"y":-1338,"z":5004}}
0.2:{"time":128952,"ypr":{"y":46.92,"p":-1.62,"r":20.47},"acceleration":{"x":-1991,"y":-1429,"z":5046}}
0.2:{"time":128967,"ypr":{"y":46.89,"p":-1.82,"r":20.51},"acceleration":{"x":-1847,"y":-1551,"z":5048}}
0.2:{"time":128982,"ypr":{"y":46.89,"p":-1.99,"r":20.61},"acceleration":{"x":-1512,"y":-1536,"z":4938}}
0.2:{"time":128997,"ypr":{"y":46.97,"p":-2.18,"r":20.61},"acceleration":{"x":-1234,"y":-1510,"z":4921}}
0.2:{"time":129012,"ypr":{"y":47.14,"p":-2.44,"r":20.52},"acceleration":{"x":-1086,"y":-1543,"z":4841}}
0.2:{"time":129027,"ypr":{"y":47.42,"p":-2.75,"r":20.37},"acceleration":{"x":-1022,"y":-1565,"z":4817}}
0.2:{"time":129042,"ypr":{"y":47.78,"p":-3.08,"r":20.16},"acceleration":{"x":-1128,"y":-1649,"z":4816}}
0.2:{"time":129057,"ypr":{"y":48.20,"p":-3.40,"r":19.96},"acceleration":{"x":-1333,"y":-1700,"z":4830}}
0.2:{"time":129072,"ypr":{"y":48.68,"p":-3.71,"r":19.79},"acceleration":{"x":-1591,"y":-1706,"z":4941}}
0.2:{"time":129087,"ypr":{"y":49.18,"p":-3.91,"r":19.69},"acceleration":{"x":-1748,"y":-1714,"z":5038}}
0.2:{"time":129102,"ypr":{"y":49.65,"p":-3.96,"r":19.67},"acceleration":{"x":-1793,"y":-1840,"z":5065}}
0.2:{"time":129117,"ypr":{"y":50.10,"p":-3.95,"r":19.76},"acceleration":{"x":-1748,"y":-1961,"z":5019}}
0.2:{"time":129132,"ypr":{"y":50.53,"p":-3.91,"r":19.93},"acceleration":{"x":-1641,"y":-2045,"z":4920}}
0.2:{"time":129147,"ypr":{"y":50.98,"p":-3.84,"r":20.13},"acceleration":{"x":-1459,"y":-2162,"z":5007}}
0.2:{"time":129162,"ypr":{"y":51.46,"p":-3.91,"r":20.29},"acceleration":{"x":-1319,"y":-2117,"z":5151}}
0.2:{"time":129177,"ypr":{"y":51.99,"p":-4.08,"r":20.29},"acceleration":{"x":-1310,"y":-2039,"z":5249}}
0.2:{"time":129192,"ypr":{"y":52.53,"p":-4.27,"r":20.28},"acceleration":{"x":-1310,"y":-1946,"z":5263}}
0.2:{"time":129207,"ypr":{"y":53.04,"p":-4.42,"r":20.26},"acceleration":{"x":-1290,"y":-1919,"z":5282}}
0.2:{"time":129222,"ypr":{"y":53.50,"p":-4.56,"r":20.24},"acceleration":{"x":-1223,"y":-1923,"z":5244}}
0.2:{"time":129236,"ypr":{"y":53.93,"p":-4.72,"r":20.20},"acceleration":{"x":-1138,"y":-1889,"z":5201}}
0.2:{"time":129252,"ypr":{"y":54.36,"p":-4.92,"r":20.12},"acceleration":{"x":-1171,"y":-1826,"z":5165}}
0.2:{"time":129267,"ypr":{"y":54.78,"p":-5.12,"r":19.99},"acceleration":{"x":-1273,"y":-1702,"z":5067}}
0.2:{"time":129282,"ypr":{"y":55.20,"p":-5.23,"r":19.84},"acceleration":{"x":-1385,"y":-1684,"z":5032}}
0.2:{"time":129297,"ypr":{"y":55.60,"p":-5.26,"r":19.73},"acceleration":{"x":-1426,"y":-1722,"z":5050}}
0.2:{"time":129312,"ypr":{"y":55.99,"p":-5.30,"r":19.63},"acceleration":{"x":-1453,"y":-1665,"z":5032}}
0.2:{"time":129327,"ypr":{"y":56.38,"p":-5.33,"r":19.56},"acceleration":{"x":-1492,"y":-1556,"z":4979}}
0.2:{"time":129342,"ypr":{"y":56.77,"p":-5.27,"r":19.50},"acceleration":{"x":-1489,"y":-1523,"z":5039}}
